recordType,id,ox,oy,dx,dy,origin,destination,departure_time,tripDate,destCity
TAZ,617,44.72950717100,-93.20251105830,44.974573,-93.27035,"44.729507171, -93.2025110583","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,618,44.72465869870,-93.18721042200,44.974573,-93.27035,"44.7246586987, -93.187210422","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,619,44.72463690600,-93.16668704210,44.974573,-93.27035,"44.724636906, -93.1666870421","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,620,44.73948561520,-93.15128461990,44.974573,-93.27035,"44.7394856152, -93.1512846199","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,621,44.75963799250,-93.15170836540,44.974573,-93.27035,"44.7596379925, -93.1517083654","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,622,44.75873647930,-93.13296443580,44.974573,-93.27035,"44.7587364793, -93.1329644358","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,623,44.76475830890,-93.11335787780,44.974573,-93.27035,"44.7647583089, -93.1133578778","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,624,44.76469718860,-93.09550160280,44.974573,-93.27035,"44.7646971886, -93.0955016028","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,625,44.75676607640,-93.07054491510,44.974573,-93.27035,"44.7567660764, -93.0705449151","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,626,44.74315092650,-93.09836063020,44.974573,-93.27035,"44.7431509265, -93.0983606302","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,627,44.74598774110,-93.11166013420,44.974573,-93.27035,"44.7459877411, -93.1116601342","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,628,44.75132505840,-93.10118656630,44.974573,-93.27035,"44.7513250584, -93.1011865663","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,629,44.75352499010,-93.11965068960,44.974573,-93.27035,"44.7535249901, -93.1196506896","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,630,44.74521305280,-93.12314533930,44.974573,-93.27035,"44.7452130528, -93.1231453393","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,631,44.74487046430,-93.13560801900,44.974573,-93.27035,"44.7448704643, -93.135608019","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,632,44.73579280790,-93.11915413590,44.974573,-93.27035,"44.7357928079, -93.1191541359","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,633,44.73545083490,-93.13641594630,44.974573,-93.27035,"44.7354508349, -93.1364159463","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,634,44.72442571310,-93.13339826660,44.974573,-93.27035,"44.7244257131, -93.1333982666","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
TAZ,635,44.72458873740,-93.14165530930,44.974573,-93.27035,"44.7245887374, -93.1416553093","44.974573, -93.27035",7:00 AM,9/18/2017,Minneapolis
