TCode,Name,PnRNum,ox,oy,dx,dy,arriveTime,tripDate,destCity
T722,Eagle Creek Transit Station,722,44.7669,-93.438,44.974573,-93.27035,7:45 AM,9/19/2017,Minneapolis
T010,Como & Eustis,10,44.9877,-93.2028,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T028,Normandale Village,28,44.8249,-93.3484,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T032,St. Edward's Catholic Church,32,44.8329,-93.3565,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T040,Co Rd 73 & I-394 South,40,44.97,-93.4214,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T042,Minnetonka Blvd & Baker Rd,42,44.9399,-93.4476,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T043,Minnetonka Blvd & Steele St,43,44.9405,-93.4832,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T057,Excelsior City Hall,57,44.9032,-93.5677,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T081,Westwood Lutheran Church,81,44.955,-93.3939,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T082,Little Canada Municipal Lot,82,45.0208,-93.0837,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T098,Salem Covenant Church,98,45.0567,-93.2189,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T110,Faith-Lilac Way Lutheran Church,110,45.0322,-93.3509,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T114,Navarre Center,114,44.9354,-93.61,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T130,Wayzata Blvd & Barry Ave,130,44.973,-93.5158,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T140,Mermaid Supper Club,140,45.0945,-93.1934,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T142,West River Rd & 117th Ave,142,45.1667,-93.3573,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T143,Zachary Square,143,45.1296,-93.4248,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T145,Christ Episcopal Church,145,44.923,-92.9591,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T152,Blackhawk,152,44.7913,-93.1984,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T155,Church of Nazarene,155,45.0864,-93.2889,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T158,Hwy 7 & Texas Ave,158,44.9367,-93.3803,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T161,I-35W & Co Rd H,161,45.095,-93.1901,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T173,Hwy 61 & Lower Afton Rd,173,44.9281,-93.0211,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
T177,Shepherd of the Grove Church,177,45.078,-93.4297,44.948164,-93.091434,7:45 AM,9/19/2017,St Paul
